,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std,,,normal,first,second,,,,,,,,,,,,,,,,
,CNNLSTM_padded,0.715763948,0.056996525,0.768598245,0.105098017,0.948421053,0.001289205,1.30518558,0.327616712,0.888751154,0.043128734,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation CNNLSTM_padded,0.727972824,0.064382712,0.767923977,0.098939268,0.886842105,0.068319763,5.152547455,0.443186599,0.883094645,0.046543587,,,,,,,,,,,,,,,,,,,,,
,SecondLightningDistillation CNNLSTM_padded,0.717931067,0.062029773,0.702070623,0.109562427,0.943421053,0.014521452,0.72815913,0.007029335,0.898805633,0.043845133,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LSTM,0.579536931,0.036092172,0.614908975,0.083651047,0.886280488,0.068052851,1.327193004,0.355799446,0.788778133,0.038482321,,,,,,,,,,,,,,,,,,,,,
,FirstLightningDistillation LSTM,0.585334703,0.032129192,0.622723444,0.099397477,0.921097561,0.037288168,4.602142,0.430010835,0.789287664,0.032650249,,,,,,,,,,,,,,,,,,,,,
,SecondLightningDistillation LSTM,0.583226943,0.040244974,0.585139114,0.069584994,0.898597561,0.049302127,0.692227656,2.24E-05,0.793283413,0.041925087,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LSTM_padded,0.684777547,0.063950951,0.681209869,0.076364151,0.871578947,0.086760727,0.957086778,0.54404565,0.863505078,0.054017125,,,,,,,,,,,,,,,,,,,,,
,FirstDistillation LSTM_padded,0.683461999,0.056583594,0.641619433,0.080230081,0.922894737,0.0410231,4.309619093,0.520832137,0.860340489,0.050006288,,,,,,,,,,,,,,,,,,,,,
,SecondDistillation LSTM_padded,0.683727821,0.05142936,0.650818854,0.062661248,0.881578947,0.077432841,0.692182428,3.88E-05,0.872284164,0.045879157,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
