model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
g_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mice.pth,0.260660359,0.134257626,0.165698473,0.089810669,0.694549062,0.271703038,0.700495863,0.003643976,0.361063341,0.112631627
g_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_None.pth,0.260660359,0.134257626,0.165698473,0.089810669,0.694549062,0.271703038,0.700495863,0.003643976,0.361063341,0.112631627
_df__transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_GAIN.pth,0.237088922,0.135912523,0.146427682,0.088507157,0.75288961,0.278378609,0.769118011,0.018782317,0.370425992,0.152707801
_df__transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mean.pth,0.237088922,0.135912523,0.146427682,0.088507157,0.75288961,0.278378609,0.769118011,0.018782317,0.370425992,0.152707801
_df__transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_mice.pth,0.237088922,0.135912523,0.146427682,0.088507157,0.75288961,0.278378609,0.769118011,0.018782317,0.370425992,0.152707801
_df__transfer_mmc7_to_allergy_mmc7_phylum__LSTM_padded_None.pth,0.237088922,0.135912523,0.146427682,0.088507157,0.75288961,0.278378609,0.769118011,0.018782317,0.370425992,0.152707801
g__conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.282105956,0.10693163,0.182783121,0.079261146,0.841778499,0.121485468,0.701848024,0.001827265,0.378112408,0.092059011
g__conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.282105956,0.10693163,0.182783121,0.079261146,0.841778499,0.121485468,0.701848024,0.001827265,0.378112408,0.092059011
g__conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mice.pth,0.282105956,0.10693163,0.182783121,0.079261146,0.841778499,0.121485468,0.701848024,0.001827265,0.378112408,0.092059011
g__conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_None.pth,0.282105956,0.10693163,0.182783121,0.079261146,0.841778499,0.121485468,0.701848024,0.001827265,0.378112408,0.092059011
g_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_GAIN.pth,0.282105956,0.10693163,0.182783121,0.079261146,0.841778499,0.121485468,0.701848024,0.001827265,0.378112408,0.092059011
g_df_conpool_transfer_mmc7_to_allergy_mmc7_phylum__CNNLSTM_padded_mean.pth,0.282105956,0.10693163,0.182783121,0.079261146,0.841778499,0.121485468,0.701848024,0.001827265,0.378112408,0.092059011
